Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
05/11/2014 10:00:00 PM,48,26
05/23/2018 11:00:00 PM,30,34
01/09/2014 09:00:00 AM,148,240
04/08/2017 02:00:00 AM,0,2
10/10/2015 01:00:00 PM,20,44
01/10/2019 03:00:00 PM,136,92
01/06/2014 10:00:00 AM,64,120
12/21/2018 12:00:00 PM,58,54
01/11/2015 04:00:00 AM,0,4
09/30/2016 06:00:00 PM,418,250
09/27/2015 03:00:00 AM,4,8
05/22/2017 12:00:00 AM,4,6
11/30/2020 10:00:00 PM,6,5
08/16/2015 09:00:00 PM,52,60
02/25/2015 08:00:00 PM,88,52
07/04/2020 09:00:00 AM,58,38
11/15/2017 06:00:00 PM,364,136
02/10/2013 06:00:00 AM,10,10
04/30/2017 11:00:00 PM,14,8
01/25/2015 07:00:00 AM,20,10
04/27/2014 10:00:00 AM,70,84
09/17/2016 03:00:00 PM,68,76
07/30/2018 07:00:00 AM,508,514
04/20/2013 01:00:00 AM,10,8
11/13/2019 11:00:00 PM,32,10
11/06/2020 03:00:00 AM,0,0
08/29/2020 05:00:00 AM,4,5
12/10/2016 12:00:00 PM,24,22
01/22/2020 05:00:00 PM,750,170
12/13/2017 03:00:00 PM,152,78
11/06/2016 09:00:00 AM,96,92
10/19/2016 05:00:00 AM,36,46
09/21/2015 02:00:00 PM,122,104
09/23/2016 05:00:00 PM,612,216
08/26/2018 08:00:00 PM,42,20
08/15/2016 07:00:00 AM,296,594
02/05/2013 12:00:00 PM,38,56
08/25/2020 11:00:00 AM,88,58
06/06/2017 10:00:00 AM,136,136
04/13/2018 06:00:00 PM,202,90
03/14/2020 12:00:00 PM,106,62
07/29/2020 03:00:00 PM,134,90
09/22/2014 10:00:00 PM,24,44
01/18/2019 07:00:00 PM,108,38
04/23/2014 09:00:00 AM,202,356
01/22/2019 11:00:00 AM,52,64
07/27/2016 01:00:00 PM,94,96
10/24/2012 12:00:00 AM,16,6
11/12/2015 03:00:00 PM,134,82
01/17/2020 07:00:00 AM,206,196
05/12/2019 04:00:00 AM,6,2
09/26/2018 12:00:00 PM,92,66
03/22/2013 03:00:00 AM,2,2
03/18/2019 08:00:00 AM,662,578
07/30/2015 03:00:00 AM,6,0
07/09/2018 08:00:00 AM,658,656
12/13/2012 10:00:00 PM,16,24
09/09/2016 11:00:00 AM,106,92
10/01/2014 06:00:00 PM,618,338
01/06/2021 04:00:00 AM,4,0
11/23/2020 12:00:00 AM,0,1
09/01/2017 02:00:00 PM,186,120
11/10/2015 03:00:00 PM,150,86
10/24/2013 05:00:00 PM,656,302
07/26/2014 12:00:00 AM,30,24
03/24/2013 06:00:00 PM,66,98
07/27/2013 09:00:00 PM,80,76
04/19/2015 03:00:00 PM,236,306
07/29/2017 01:00:00 PM,244,204
06/08/2013 10:00:00 AM,118,150
07/05/2017 12:00:00 PM,80,108
03/15/2015 05:00:00 PM,16,20
07/10/2014 06:00:00 PM,654,374
10/14/2013 05:00:00 AM,14,44
11/07/2015 03:00:00 AM,2,4
03/08/2015 04:00:00 PM,212,298
04/14/2017 03:00:00 AM,2,0
11/07/2017 03:00:00 AM,2,0
04/23/2018 08:00:00 PM,134,70
01/26/2016 06:00:00 AM,56,142
12/13/2013 09:00:00 AM,108,220
06/18/2016 09:00:00 AM,98,68
04/25/2015 04:00:00 AM,0,6
08/31/2013 02:00:00 PM,166,210
07/02/2016 05:00:00 PM,152,178
12/23/2020 01:00:00 AM,0,0
10/18/2015 09:00:00 PM,14,20
10/09/2012 05:00:00 PM,800,394
03/24/2019 06:00:00 AM,10,12
01/04/2013 02:00:00 PM,68,90
07/14/2019 02:00:00 AM,10,4
12/05/2016 04:00:00 AM,6,8
01/13/2015 03:00:00 PM,110,132
04/07/2019 12:00:00 PM,122,106
04/03/2019 05:00:00 PM,836,284
06/01/2015 01:00:00 PM,30,46
01/11/2019 03:00:00 PM,204,110
03/29/2020 07:00:00 PM,28,17
03/28/2020 03:00:00 AM,3,0
04/03/2013 09:00:00 PM,80,50
12/02/2015 12:00:00 AM,8,2
01/14/2014 04:00:00 PM,230,168
06/08/2014 01:00:00 AM,16,8
03/01/2018 07:00:00 PM,172,82
10/04/2016 12:00:00 PM,60,74
09/09/2013 06:00:00 PM,676,302
09/24/2016 10:00:00 AM,84,144
03/30/2020 05:00:00 AM,6,1
09/23/2015 12:00:00 PM,104,138
07/12/2016 08:00:00 AM,372,694
12/20/2016 06:00:00 PM,284,104
12/26/2013 02:00:00 AM,0,0
03/02/2019 12:00:00 AM,10,8
12/14/2013 06:00:00 PM,22,46
07/19/2019 06:00:00 AM,168,142
12/31/2013 10:00:00 AM,58,56
04/13/2014 01:00:00 PM,264,262
05/18/2013 12:00:00 AM,36,32
11/06/2016 02:00:00 AM,6,0
06/25/2019 04:00:00 PM,708,304
05/14/2019 04:00:00 AM,6,14
01/02/2019 09:00:00 PM,36,10
02/21/2021 07:00:00 PM,8,5
11/08/2018 07:00:00 AM,332,332
11/21/2013 08:00:00 AM,194,490
06/18/2017 09:00:00 PM,52,28
06/16/2019 06:00:00 AM,24,18
09/08/2013 01:00:00 PM,174,298
11/03/2019 05:00:00 AM,6,0
04/18/2016 11:00:00 PM,16,14
05/05/2018 08:00:00 AM,126,120
07/14/2020 02:00:00 PM,100,82
11/01/2018 07:00:00 AM,320,292
07/01/2018 02:00:00 AM,6,10
12/24/2018 09:00:00 PM,2,10
01/15/2020 03:00:00 AM,0,0
09/14/2018 01:00:00 PM,106,86
06/27/2015 08:00:00 AM,84,184
01/19/2020 01:00:00 AM,4,6
11/19/2018 02:00:00 AM,0,0
11/28/2019 10:00:00 PM,16,2
05/19/2013 01:00:00 PM,182,238
02/28/2020 11:00:00 PM,18,10
12/15/2016 07:00:00 AM,136,262
12/14/2018 04:00:00 AM,10,6
12/25/2013 05:00:00 AM,2,4
07/09/2019 06:00:00 AM,206,216
05/07/2018 05:00:00 AM,42,48
08/07/2020 06:00:00 PM,196,126
12/25/2020 10:00:00 PM,0,0
10/30/2018 10:00:00 AM,114,94
