iter	Logloss
0	0.6576758417
1	0.6264253751
2	0.6010173673
3	0.5802067767
4	0.5609051104
5	0.5439002069
6	0.5300037916
7	0.5186731634
8	0.5077678963
9	0.497176939
10	0.4885739498
11	0.479363033
12	0.4721930015
13	0.4662842595
14	0.460249676
15	0.455344388
16	0.4504286408
17	0.4460349518
18	0.4417842093
19	0.4382600318
20	0.4347045319
21	0.4318132842
22	0.4291925817
23	0.4265799614
24	0.4240257794
25	0.4220179898
26	0.42047431
27	0.418517274
28	0.4163722178
29	0.4145503131
30	0.4126552282
31	0.411007526
32	0.4103626485
33	0.4091552333
34	0.4085255455
35	0.4071590811
36	0.4058339088
37	0.404924623
38	0.404713178
39	0.4036555471
40	0.4030695139
41	0.4022551011
42	0.4014269663
43	0.4006344939
44	0.3999089352
45	0.3996543635
46	0.398983437
47	0.3984412457
48	0.3979012289
49	0.3973333959
50	0.3966241089
51	0.3959782791
52	0.3957270517
53	0.3953055747
54	0.3949021664
55	0.3942594504
56	0.3941592395
57	0.3940142564
58	0.393552759
59	0.393435611
60	0.3934286986
61	0.3932120792
62	0.3930396297
63	0.3927324608
64	0.3924259498
65	0.3922573019
66	0.3920617263
67	0.3917779571
68	0.3913408646
69	0.3911716159
70	0.3911714499
71	0.391133578
72	0.3909014698
73	0.3907886915
74	0.3902470851
75	0.3901845246
76	0.3896969534
77	0.3893720481
78	0.3892433795
79	0.3890653754
80	0.3890635318
81	0.3889858345
82	0.3885211611
83	0.3881465199
84	0.3872998489
85	0.3872941799
86	0.3872769619
87	0.3872745017
88	0.3871713137
89	0.3869926196
90	0.3868238267
91	0.3866549933
92	0.3863595375
93	0.3863027246
94	0.3862569999
95	0.3862099948
96	0.3861691097
97	0.3861072411
98	0.3859733983
99	0.3859340218
