iter	Passed	Remaining
0	3	193
1	6	188
2	8	176
3	11	173
4	14	165
5	16	161
6	19	156
7	22	152
8	24	148
9	27	145
10	30	142
11	32	139
12	34	133
13	37	130
14	38	123
15	40	118
16	42	116
17	45	113
18	48	111
19	49	106
20	51	103
21	54	101
22	57	100
23	59	95
24	61	94
25	64	91
26	67	89
27	68	85
28	71	83
29	73	81
30	76	79
31	79	76
32	81	74
33	84	71
34	87	69
35	88	66
36	90	63
37	92	60
38	94	58
39	97	55
40	99	53
41	102	51
42	104	48
43	108	46
44	110	44
45	113	41
46	116	39
47	118	37
48	121	34
49	124	32
50	125	29
51	128	27
52	130	24
53	133	22
54	136	19
55	138	17
56	141	14
57	144	12
58	146	9
59	149	7
60	151	4
61	154	2
62	157	0
